accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_001303705.1,bac120,Bacteria,TA06,DG-26,SM1-40,SM1-40,SM1-40,SM1-40 sp001303705
GB_GCA_001304015.1,bac120,Bacteria,TA06_A,DG-26_A,SM23-81,SM23-81,SM23-81,SM23-81 sp001304015
RS_GCF_900079095.1,bac120,Bacteria,Tectomicrobia,Entotheonellia,Entotheonellales,Entotheonellaceae,Entotheonella,Entotheonella palauensis
GB_GCA_005777235.1,bac120,Bacteria,Tectomicrobia,Entotheonellia,Entotheonellales,Entotheonellaceae,SXND01,SXND01 sp005777235
RS_GCF_000212395.1,bac120,Bacteria,Thermodesulfobiota,Thermodesulfobiia,Thermodesulfobiales,Thermodesulfobiaceae,Thermodesulfobium,Thermodesulfobium narugense
GB_GCA_011374175.1,bac120,Bacteria,Thermodesulfobiota,Thermodesulfobiia,Thermodesulfobiales,Thermodesulfobiaceae,Thermodesulfobium,Thermodesulfobium narugense_A
GB_GCA_016281925.1,ar53,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp016281925
GB_GCA_003663585.1,ar53,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,B47-G6 sp003663585
GB_GCA_014523495.1,ar53,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TA-21,TA-21 sp014523495
GB_GCA_011373345.1,ar53,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,Caldarchaeaceae,Caldarchaeum,Caldarchaeum subterraneum_D
RS_GCF_900696045.1,ar53,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrosocosmicus,Nitrosocosmicus franklandus
GB_GCA_015486015.1,bac120,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,B14-G1,WFSI01,WFSI01 sp015486015
RS_GCF_001547735.1,bac120,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter,Thermosulfidibacter takaii
RS_GCF_000504085.1,bac120,Bacteria,Thermotogota,Thermotogae,Thermotogales,DSM-5069,Pseudothermotoga_B,Pseudothermotoga_B elfii
GB_GCA_012744415.1,bac120,Bacteria,Thermotogota,Thermotogae,MWEM01,MWEM01,MWEM01,MWEM01 sp012744415
GB_GCA_011331325.1,bac120,Bacteria,UBA10199,UBA10199,DSSB01,DSSB01,DSSB01,DSSB01 sp011331325
GB_GCA_018812345.1,bac120,Bacteria,UBA10199,UBA10199,UBA10199,JADGCS01,JAHJDR01,JAHJDR01 sp018812345
GB_GCA_012729785.1,bac120,Bacteria,UBA1439,UBA1439,UBA1439,UBA1439,UBA1439,UBA1439 sp002329605
GB_GCA_011620345.1,bac120,Bacteria,UBA2233,UBA2233,UBA2233,UBA2233,UBA2233,UBA2233 sp011620345
GB_GCA_002347965.1,bac120,Bacteria,UBA2233,UBA2233,UBA2233,UBA2233,UBA2233,UBA2233 sp002347965
GB_GCA_017538635.1,bac120,Bacteria,UBA3054,UBA3054,UBA3054,UBA3054,UBA3054,UBA3054 sp017538635
